2026-05-01 10:36:13.710 - [审计日志] 时间: 2026-05-01 10:36:13 | 用户: anonymous | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"999","username":"999"},{}] | 结果: 成功 | 耗时: 235ms | 错误: 无
2026-05-01 10:36:42.262 - [审计日志] 时间: 2026-05-01 10:36:42 | 用户: 999 | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"2396706066","username":"2396706066"},{}] | 结果: 成功 | 耗时: 70ms | 错误: 无
2026-05-01 10:37:54.319 - [审计日志] 时间: 2026-05-01 10:37:54 | 用户: 2396706066 | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"admin","username":"admin"},{}] | 结果: 成功 | 耗时: 94ms | 错误: 无
2026-05-01 10:38:13.467 - [审计日志] 时间: 2026-05-01 10:38:13 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 更新救助请求 | 方法: com.example.controller.HelpController.update | 参数: [{"uname":"999","description":"1","remark":"2","updateTime":1777554096000,"title":"动物症状申请 - 1","uid":41,"phone":"18419296192","createTime":1777554096000,"location":"1","id":6,"status":2}] | 结果: 成功 | 耗时: 26ms | 错误: 无
2026-05-01 10:38:40.212 - [审计日志] 时间: 2026-05-01 10:38:40 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 提交救助请求 | 方法: com.example.controller.HelpController.save | 参数: [{"uname":"2396706066","description":"23","title":"动物症状申请 - 23","uid":34,"phone":"18419296192","location":"23","status":0}] | 结果: 成功 | 耗时: 14ms | 错误: 无
2026-05-01 10:38:49.575 - [审计日志] 时间: 2026-05-01 10:38:49 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 更新救助请求 | 方法: com.example.controller.HelpController.update | 参数: [{"uname":"2396706066","description":"23","remark":"22","updateTime":1777603120000,"title":"动物症状申请 - 23","uid":34,"phone":"18419296192","createTime":1777603120000,"location":"23","id":7,"status":2}] | 结果: 成功 | 耗时: 6ms | 错误: 无
2026-05-01 10:50:22.671 - [审计日志] 时间: 2026-05-01 10:50:22 | 用户: anonymous | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"999","username":"999"},{}] | 结果: 成功 | 耗时: 246ms | 错误: 无
2026-05-01 11:35:26.263 - [审计日志] 时间: 2026-05-01 11:35:26 | 用户: anonymous | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"999","username":"999"},{}] | 结果: 成功 | 耗时: 221ms | 错误: 无
2026-05-01 11:49:49.180 - [审计日志] 时间: 2026-05-01 11:49:48 | 用户: anonymous | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"admin","username":"admin"},{}] | 结果: 成功 | 耗时: 214ms | 错误: 无
2026-05-01 11:50:28.220 - [审计日志] 时间: 2026-05-01 11:50:28 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 动物管理 | 操作: 更新动物 | 方法: com.example.controller.AnimalController.update | 参数: [{"tpic":"","tstate":2,"tsex":"公","tname":"11","tdescribe":"1","tbirthday":1776614400000,"ttype":"小狗","id":10012}] | 结果: 成功 | 耗时: 39ms | 错误: 无
2026-05-01 11:58:35.924 - [审计日志] 时间: 2026-05-01 11:58:35 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 动物管理 | 操作: 新增动物 | 方法: com.example.controller.AnimalController.save | 参数: [{"tpic":"58c77a8475f8477fa3de72b1742aac21","tsex":"母","tname":"小黑","tdescribe":"无","tbirthday":1777910400000,"ttype":"阿拉斯加"}] | 结果: 成功 | 耗时: 16ms | 错误: 无
2026-05-01 12:08:59.799 - [审计日志] 时间: 2026-05-01 12:08:59 | 用户: anonymous | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"admin","username":"admin"},{}] | 结果: 成功 | 耗时: 204ms | 错误: 无
2026-05-01 12:09:20.888 - [审计日志] 时间: 2026-05-01 12:09:20 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 动物管理 | 操作: 删除动物 | 方法: com.example.controller.AnimalController.delete | 参数: [10012] | 结果: 成功 | 耗时: 27ms | 错误: 无
2026-05-01 12:09:31.865 - [审计日志] 时间: 2026-05-01 12:09:31 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 删除救助请求 | 方法: com.example.controller.HelpController.delete | 参数: [8] | 结果: 成功 | 耗时: 5ms | 错误: 无
2026-05-01 12:09:34.301 - [审计日志] 时间: 2026-05-01 12:09:34 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 删除救助请求 | 方法: com.example.controller.HelpController.delete | 参数: [9] | 结果: 成功 | 耗时: 6ms | 错误: 无
2026-05-01 12:09:36.149 - [审计日志] 时间: 2026-05-01 12:09:36 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 救助咨询 | 操作: 删除救助请求 | 方法: com.example.controller.HelpController.delete | 参数: [10] | 结果: 成功 | 耗时: 5ms | 错误: 无
