2026-05-04 00:05:46.320 - [审计日志] 时间: 2026-05-04 00:05:46 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"2396706066","username":"2396706066"},{}] | 结果: 成功 | 耗时: 78ms | 错误: 无
2026-05-04 01:01:02.572 - [审计日志] 时间: 2026-05-04 01:01:02 | 用户: 2396706066 | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"999","username":"999"},{}] | 结果: 成功 | 耗时: 75ms | 错误: 无
2026-05-04 15:32:53.340 - [审计日志] 时间: 2026-05-04 15:32:53 | 用户: anonymous | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"999","username":"999"},{}] | 结果: 成功 | 耗时: 212ms | 错误: 无
2026-05-04 15:52:02.791 - [审计日志] 时间: 2026-05-04 15:52:02 | 用户: anonymous | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"999","username":"999"},{}] | 结果: 成功 | 耗时: 189ms | 错误: 无
2026-05-04 16:01:19.651 - [审计日志] 时间: 2026-05-04 16:01:19 | 用户: 999 | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"999","username":"999"},{}] | 结果: 成功 | 耗时: 79ms | 错误: 无
2026-05-04 16:01:46.814 - [审计日志] 时间: 2026-05-04 16:01:46 | 用户: 999 | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"2396706066","username":"2396706066"},{}] | 结果: 成功 | 耗时: 85ms | 错误: 无
2026-05-04 16:02:36.298 - [审计日志] 时间: 2026-05-04 16:02:36 | 用户: 2396706066 | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"admin","username":"admin"},{}] | 结果: 成功 | 耗时: 84ms | 错误: 无
2026-05-04 16:22:51.401 - [审计日志] 时间: 2026-05-04 16:22:51 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 动物管理 | 操作: 更新动物 | 方法: com.example.controller.AnimalController.update | 参数: [{"tpic":"58599bf99e8c4735a77c30b8db15388f","tstate":0,"tsex":"母","tname":"小黑","tdescribe":"无","tbirthday":1777910400000,"ttype":"阿拉斯加","id":10013}] | 结果: 成功 | 耗时: 32ms | 错误: 无
2026-05-04 16:33:47.916 - [审计日志] 时间: 2026-05-04 16:33:47 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 动物管理 | 操作: 更新动物 | 方法: com.example.controller.AnimalController.update | 参数: [{"tpic":"06f307b6246547ee97dd3175fd6f19cf","tstate":0,"tsex":"母","tname":"小黑","tdescribe":"无","tbirthday":1777910400000,"ttype":"阿拉斯加","id":10013}] | 结果: 成功 | 耗时: 16ms | 错误: 无
2026-05-04 16:34:23.461 - [审计日志] 时间: 2026-05-04 16:34:23 | 用户: admin | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 更新用户 | 方法: com.example.controller.UserController.update | 参数: [{"role":[{"description":"部分非工作权限","permission":[{"flag":"im","description":"救助咨询","path":"/page/end/im.html","name":"救助咨询","id":5},{"flag":"adopt_view","description":"展示待领养的动物","path":"/page/end/adopt_view.html","name":"动物展示","id":43},{"flag":"my_adopt","description":"查看当前用户的领养申请数据","path":"/page/end/my_adopt.html","name":"我的领养","id":11},{"flag":"apply","description":"查看审批义工申请","path":"/page/end/volunteer_apply.html","name":"义工申请","id":15}],"name":"普通用户","id":3}],"permission":[{"flag":"im","des... | 结果: 成功 | 耗时: 16ms | 错误: 无
2026-05-04 17:10:56.852 - [审计日志] 时间: 2026-05-04 17:10:56 | 用户: anonymous | IP: 0:0:0:0:0:0:0:1 | 模块: 用户管理 | 操作: 用户登录 | 方法: com.example.controller.UserController.login | 参数: [{"password":"999","username":"999"},{}] | 结果: 成功 | 耗时: 269ms | 错误: 无
